djup	SK	KA	SO	BP	GB	LO	GD					
#0	0	0	0	0	0	0	0					
#5	5	5	5	4.9	4.9	4.9	4.9					
10	10.1	10	10	9.9	9.9	9.9	9.9					
15	15.1	15.1	15.1	14.8	14.8	14.8	14.8					
20	20.2	20.1	20.1	19.7	19.7	19.7	19.7					
25		25.1	25.1			24.7						
30	30.2	30.2	30.2	29.6	29.6	29.6	29.6					
40	40.3	40.2	40.2	39.5	39.5	39.5	39.5					
50	50.4	50.3	50.3	49.4	49.3	49.4	49.4					
60		60.4	60.4	59.2	59.2	59.2	59.2					
70		70.5	70.5	69.1	69.1	69.1	69.1					
75	75.6											
80		80.5	80.5	79	78.9	79	79					
90		90.6	90.6	88.9	88.8	88.9	88.9					
100	100.9	100.7	100.7	98.8	98.7	98.8	98.8					
125	126.1			123.6	123.4	123.6	123.6					
150	151.3			148.3	148.1	148.3	148.3					
175				173.1	172.8		173.1					
200	201.8			197.9	197.5	197.9	197.9					
225				222.6	222.2		222.6					
240							237.5					
250				247.4	246.9		247.4					 
300	302.8			297	296.7	297	297					
400				396.1		396.1	396.1					
425				420.9			420.9					
440						436.5						
1000	1000	1000	1000	1000	1000	1000	1000					
2000	2000	2000	2000	2000	2000	2000	2000					
3000	3000	3000	3000	3000	3000	3000	3000					
4000	4000	4000	4000	4000	4000	4000	4000					
5000	5000	5000	5000	5000	5000	5000	5000					
6000	6000	6000	6000	6000	6000	6000	6000					
7000	7000	7000	7000	7000	7000	7000	7000					
8000	8000	8000	8000	8000	8000	8000	8000					
9000	9000	9000	9000	9000	9000	9000	9000					
10000	10000	10000	10000	10000	10000	10000	10000					
11000	11000	11000	11000	11000	11000	11000	11000					
12000	12000	12000	12000	12000	12000	12000	12000					
